id,nct_id,outcome_type,title,description,time_frame,population,anticipated_posting_date,anticipated_posting_month_year,units,units_analyzed,dispersion_type,param_type
100897618,NCT02033889,PRIMARY,Percentage of Participants Experiencing An Adverse Event (AE) (Including Rescue Approach),"An AE is defined as any unfavorable and unintended sign including an abnormal laboratory finding, symptom or disease associated with the use of a medical treatment or procedure, regardless of whether it is considered related to the medical treatment or procedure, that occurs during the course of the study. Per protocol, participants who met pre-specified glycemic criteria were rescued with open-label glimepiride or basal insulin according to Investigator judgment.",Up to Week 106,All participants who received at least one dose of investigational product.,,,Percentage of Participants,,,NUMBER
100897619,NCT02033889,PRIMARY,Percentage of Participants Discontinuing Study Treatment Due to an AE (Including Rescue Approach),"An AE is defined as any unfavorable and unintended sign including an abnormal laboratory finding, symptom or disease associated with the use of a medical treatment or procedure, regardless of whether it is considered related to the medical treatment or procedure, that occurs during the course of the study. Per protocol, participants who met pre-specified glycemic criteria were rescued with open-label glimepiride or basal insulin according to Investigator judgment.",Up to Week 104,All participants who received at least one dose of investigational product.,,,Percentage of Participants,,,NUMBER
100897620,NCT02033889,SECONDARY,Change From Baseline in Fasting Plasma Glucose at Week 26 (Excluding Rescue Approach),"Blood glucose was measured on a fasting basis. Blood was drawn at predose on Day 1 and after 26 weeks of treatment to determine change in plasma glucose levels (i.e., FPG at Week 26 minus FPG at Week 0) which is estimated on average for each treatment group using a constrained longitudinal data analysis model, which allows for participants with missing data to be included in the analysis. Participants who met pre-specified glycemic criteria were rescued with oral tablets of open-label glimepiride or basal insulin injected subcutaneously, and dosed according to Investigator judgment. Per protocol, this data set excludes data for any participant after the initiation of glycemic rescue therapy.",Baseline and Week 26,All randomized participants who took at least one dose of study medication and had at least one assessment of the respective endpoint at baseline or post-baseline up to Week 26.,,,mg/dL,,95% Confidence Interval,LEAST_SQUARES_MEAN
100897621,NCT02033889,SECONDARY,Change From Baseline in Body Weight at Week 26 (Excluding Rescue Approach),"The change in body weight from baseline reflects the Week 26 body weight minus the Week 0 body weight (which is estimated on average for each treatment group using a constrained longitudinal data analysis model, which allows for participants with missing data to be included in the analysis). Participants who met pre-specified glycemic criteria were rescued with oral tablets of open-label glimepiride or basal insulin injected subcutaneously, and dosed according to Investigator judgment. Per protocol, this data set excludes data for any participant after the initiation of glycemic rescue therapy.",Baseline and Week 26,All randomized participants who took at least one dose of study medication and had at least one assessment of the respective endpoint at baseline or post-baseline up to Week 26.,,,Kilograms,,95% Confidence Interval,LEAST_SQUARES_MEAN
101014863,NCT04441996,SECONDARY,Discharge Disposition,"The number of participants in each study arm discharged to home or to a long-term acute care (LTAC) hospital, versus palliative care or death.",Up to Day 48,,,,Participants,,,COUNT_OF_PARTICIPANTS
101133858,NCT04134728,SECONDARY,Change From Baseline in FACIT-Fatigue at Week 24 for Treatment Arms That Started Study Intervention From Day 1,The Functional Assessment of Chronic Illness Therapy (FACIT)-fatigue is a validated patient-reported measure of 13 statements regarding the feeling of fatigue. The total score ranges from 0 to 52 with higher values representing a lower fatigue and a better quality of life. A positive change from baseline in FACIT-fatigue indicates an improvement.,Baseline (Day 01) and Week 24,The analysis was performed on all randomized participants who received study intervention from Day 01 to Week 24. Analysis was performed using multiple imputation method to handle missing data.,,,Scores on a scale,,Standard Error,LEAST_SQUARES_MEAN
101133859,NCT04134728,SECONDARY,Change From Baseline in FACIT-Fatigue at Week 24 for Placebo Switched Arms That Started Study Intervention From Week 12,The Functional Assessment of Chronic Illness Therapy (FACIT)-fatigue is a validated patient-reported measure of 13 statements regarding the feeling of fatigue. The total score ranges from 0 to 52 with higher values representing a lower fatigue and a better quality of life. A positive change from baseline in FACIT-fatigue indicates an improvement.,Baseline (Day 01) and Week 24,The analysis was performed on all randomized participants who switched from placebo to study intervention at Week 12. Analysis was performed using multiple imputation method to handle missing data.,,,Scores on a scale,,Standard Error,LEAST_SQUARES_MEAN
100779473,NCT02999633,SECONDARY,Duration of Response (DOR),"DOR defined as time (in days) from date of first response until date of first documented progressive disease (PD) or death (from any cause), whichever came first. Progressive disease as per NCCN guidelines was defined as increase of at least 25 percentage (%) in the absolute number of circulating or bone marrow blasts or development of extramedullary disease.",Baseline until disease progression or death (maximum duration: 12.1 weeks),"The outcome measure was not analyzed due to lack of objective response. There was no specific additional data collected for the analysis of DOR as this outcome measure was to be derived using time point responses and death information that were collected and analyzed as part of primary and safety outcome measures, respectively.",,,,,,
100779474,NCT02999633,SECONDARY,Progression Free Survival (PFS),"PFS was defined as the time interval (in days) from the date of first study drug administration to the date of first observation of PD or death due to any cause, whichever came first. PD as per NCCN guidelines was defined as increase of at least 25% in the absolute number of circulating or bone marrow blasts or development of extramedullary disease.",Baseline until disease progression or death (maximum duration: 12.1 weeks),This outcome measure was not analyzed because disease progression data were not collected.,,,,,,
100779475,NCT02999633,SECONDARY,Overall Survival (OS),Overall Survival was defined as the time interval from the date of first study drug administration to the date of death due to any cause.,Baseline until death (maximum duration: 12.1 weeks),This outcome measure was not analyzed because overall survival data were not collected.,,,,,,
100779476,NCT02999633,SECONDARY,Number of Participants With Minimal Residual Disease (MRD),"Presence of MRD was measured by sequencing and/or flow cytometry in participants achieving CR and CRi. CR was defined as no circulating blasts or extramedullary disease, no lymphadenopathy, splenomegaly, skin/gum infiltration/testicular mass/central nervous system involvement, trilineage hematopoiesis and less than 5 percentage blasts, ANC greater than 1000 per micro liter, platelets less than 100 000 per micro liter, no recurrence for 4 weeks. Complete response with incomplete blood count recovery meet all criteria for complete response except platelet count and/or ANC.",Baseline until death or study cut-off (maximum duration: 12.1 weeks),Data for this outcome measure was not collected and analyzed because no participant achieved CR or CRi.,,,,,,
100779477,NCT01304589,PRIMARY,Pain Rating Index,"The Pain Rating Index is a component of the McGill Pain Questionnaire which measures sensory and affective components of pain. ""0"" equals no pain to ""45"" equals severe pain. This measure was used to measure mean values at baseline and at 18 weeks post-treatment.",18 weeks,22 subjects were eligible and received study medication. Analysis population included all 22 eligible subjects.,,,units on a scale,,Standard Deviation,MEAN
100779478,NCT01304589,SECONDARY,Tampon Pain,"""0"" equals no pain with tampon insertion to ""10"" equals worse pain imaginable with tampon insertion. This measure was used to measure mean values at baseline and at 18 weeks post-treatment.",18 weeks,22 subjects were eligible and received study medication. Analysis population includes all 22 eligible subjects.,,,units on a scale,,Standard Deviation,MEAN
100779479,NCT01304589,SECONDARY,Coital Pain,"""0"" equals no pain with intercourse to ""10"" equals worse imaginable pain with intercourse. This measure was used to measure mean values at baseline and at 18 weeks post-treatment.",18 weeks,22 subjects were assigned to study medication with 18 of the 22 subjects completing all of the study visits. Analysis population includes the 18 eligible subjects who completed all of the study visits.,,,units on a scale,,Standard Deviation,MEAN
100779480,NCT01304589,SECONDARY,24-hour Vulvar Pain,"""0"" equals no vulvar pain within the last 24 hours to ""10"" equals worse imaginable vulvar pain within the last 24 hours. This measure was used to measure mean values at baseline and at 18 weeks post-treatment.",18 weeks,22 subjects were randomized to study medication with 18 of the 22 subjects completing all of the study visits. Analysis population includes all 18 eligible subjects who completed all of the study visits.,,,units on a scale,,Standard Deviation,MEAN
100897622,NCT02033889,SECONDARY,Percentage of Participants With an A1C of <7% (53 mmol/Mol) at Week 26 (Logistic Regression Using Multiple Imputation: Excluding Rescue Approach),"A1C is blood marker used to report average blood glucose levels over prolonged periods of time and is reported as a percentage (%). Percentage A1C is the ratio of glycated hemoglobin to total hemoglobin x 100. Participants who met pre-specified glycemic criteria were rescued with oral tablets of open-label glimepiride or basal insulin injected subcutaneously, and dosed according to Investigator judgment. Per protocol, this data set excludes data for any participant after the initiation of glycemic rescue therapy.",Week 26,All randomized participants who took at least one dose of study medication and had at least one assessment of the respective endpoint at baseline or post-baseline up to Week 26.,,,Percentage of Participants,,,NUMBER
